Brand_Name,Policy_Name,Cashless_Hospitals,Coverage_Amount,Monthly_Premium,Annual_Premium,Claim_Settlement_Ratio,Links
ICICI Lombard,Health AdvantEdge Plus 2.0 With Befit,12,10000000,2530,30362,99.8,https://www.icicilombard.com/health-insurance
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim Protector and Befit,12,10000000,2530,30362,99.8,https://www.icicilombard.com/health-insurance
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim + SI Protector + Befit,12,10000000,2561,30733,99.8,https://www.icicilombard.com/health-insurance
ICICI Lombard,Health AdvantEdge Plus 2.0 With SI Protector and Befit,12,10000000,2561,30733,99.8,https://www.icicilombard.com/health-insurance
Reliance,Health Gain Prime,15,10000000,1843,22120,99.9,https://www.reliancegeneral.co.in/health-insurance/health-gain-insurance?wpsrc=Google+Organic+Search
Reliance,Health Infinity With More Time,15,10000000,1848,22176,99.9,https://www.reliancegeneral.co.in/health-insurance/health-gain-insurance?wpsrc=Google+Organic+Search
Reliance,Health Infinity With More Global,15,10000000,1848,22176,99.9,https://www.reliancegeneral.co.in/health-insurance/health-gain-insurance?wpsrc=Google+Organic+Search
Reliance,Health Infinity With More Cover,15,10000000,1848,22176,99.9,https://www.reliancegeneral.co.in/health-insurance/health-gain-insurance?wpsrc=Google+Organic+Search
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 100L,25,10000000,2325,27901,93.4,https://www.manipalcigna.com/health-insurance
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 50L,25,10000000,1273,15279,93.4,https://www.manipalcigna.com/health-insurance
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 100L,25,10000000,1291,15492,93.4,https://www.manipalcigna.com/health-insurance
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 25L,25,10000000,1267,15208,93.4,https://www.manipalcigna.com/health-insurance
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 50L,25,10000000,2307,27688,93.4,https://www.manipalcigna.com/health-insurance
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 25L,25,10000000,2301,27617,93.4,https://www.manipalcigna.com/health-insurance
Royal Sundaram,Lifeline Supreme,15,10000000,1583,18991,92,https://www.royalsundaram.in/health-insurance/lifeline/
Royal Sundaram,Lifeline Elite,15,10000000,5641,67695,92,https://www.royalsundaram.in/health-insurance/lifeline/
Universal Sompo,A Plus Silver,20,10000000,1832,21983,96,https://www.universalsompo.com/health-insurance
Universal Sompo,A Plus Gold,20,10000000,1889,22668,96,https://www.universalsompo.com/health-insurance
Universal Sompo,A Plus Diamond,20,10000000,2098,25181,96,https://www.universalsompo.com/health-insurance
Universal Sompo,A Plus Silver + Non medical items,20,10000000,1908,22892,96,https://www.universalsompo.com/health-insurance
Universal Sompo,A Plus Gold + Non medical items,20,10000000,1965,23576,96,https://www.universalsompo.com/health-insurance
Universal Sompo,A Plus Diamond + Non medical items,20,10000000,2174,26090,96,https://www.universalsompo.com/health-insurance
Universal Sompo,A Plus Silver + PED waiting period waiver,20,10000000,2211,26526,96,https://www.universalsompo.com/health-insurance
Universal Sompo,A Plus Gold + PED waiting period waiver,20,10000000,2268,27211,96,https://www.universalsompo.com/health-insurance
Universal Sompo,A Plus Diamond + PED waiting period waiver,20,10000000,2477,29724,96,https://www.universalsompo.com/health-insurance
Digit Insurance,Double Wallet Plan,10,10000000,1613,19352,96,https://www.godigit.com/health-insurance-policy
Digit Insurance,Infinity Wallet Plan,10,10000000,1932,23189,96,https://www.godigit.com/health-insurance-policy
Digit Insurance,Worldwide Treatment plan,10,10000000,3447,41360,96,https://www.godigit.com/health-insurance-policy
Star Health,Mediclassic Individual Silver,16,150000,432,5189,85.8,https://www.starhealth.in/health-insurance/
Star Health,Arogya Sanjivini Individual,16,100000,382,4578,85.8,https://www.starhealth.in/health-insurance/
Star Health,Out Patient Care Platinum,16,100000,1236,14827,85.8,https://www.starhealth.in/health-insurance/
Star Health,Out Patient Care Gold,16,100000,1172,14066,85.8,https://www.starhealth.in/health-insurance/
Star Health,Out Patient Care Silver,16,100000,1019,12231,85.8,https://www.starhealth.in/health-insurance/
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 100L,25,5000000,1859,22307,93.4,https://www.manipalcigna.com/health-insurance
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 50L,25,5000000,1161,13930,93.4,https://www.manipalcigna.com/health-insurance
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 100L,25,5000000,1177,14124,93.4,https://www.manipalcigna.com/health-insurance
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 25L,25,5000000,1156,13866,93.4,https://www.manipalcigna.com/health-insurance
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 50L,25,5000000,1843,22114,93.4,https://www.manipalcigna.com/health-insurance
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 25L,25,5000000,1837,22049,93.4,https://www.manipalcigna.com/health-insurance
New India Assurance,New India Mediclaim 2012,16,100000,436,5237,98,https://www.newindia.co.in/health-insurance/health-insurance-policy
New India Assurance,Aarogya sanjeevani,16,100000,374,4490,98,https://www.newindia.co.in/health-insurance/health-insurance-policy
Royal Sundaram,Lifeline Classic,15,200000,615,7374,92,https://www.royalsundaram.in/health-insurance/lifeline/
IFFCO Tokio,Individual Health Protector,12,150000,413,4958,98.9,https://www.iffcotokio.co.in/health-insurance
Care Health,Care Advantage with Global Coverage Inc US,15,20000000,4070,48834,93,https://www.careinsurance.com/
Care Health,Care Advantage with Global Coverage Ex US,15,20000000,3468,41611,93,https://www.careinsurance.com/
Care Health,Care Advantage with Reduction In PED Waiting period and Global coverage Inc US,15,20000000,4070,48834,93,https://www.careinsurance.com/
Star Health,Assure Insurance Policy,16,20000000,2272,27263,85.8,https://www.starhealth.in/health-insurance/
Niva Bupa,Health Premia Platinum,16,20000000,5815,69780,92,https://www.nivabupa.com/health-insurance-plans.html
Aditya Birla,Activ One Max,14,20000000,1896,22756,96,https://www.adityabirlacapital.com/healthinsurance/homepage
Aditya Birla,Active Health Platinum - Enhanced,14,20000000,2405,28858,96,https://www.adityabirlacapital.com/healthinsurance/homepage
ICICI Lombard,Elevate + BeFit,12,30000000,2011,24136,99.8,https://www.icicilombard.com/health-insurance
ICICI Lombard,Health AdvantEdge Plus 2.0 With Befit,12,20000000,2873,34475,99.8,https://www.icicilombard.com/health-insurance
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim Protector and Befit,12,20000000,2873,34475,99.8,https://www.icicilombard.com/health-insurance
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim + SI Protector + Befit,12,20000000,2904,34846,99.8,https://www.icicilombard.com/health-insurance
ICICI Lombard,Health AdvantEdge Plus 2.0 With SI Protector and Befit,12,20000000,2904,34846,99.8,https://www.icicilombard.com/health-insurance
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 100L,25,20000000,2730,32759,93.4,https://www.manipalcigna.com/health-insurance
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 50L,25,20000000,1411,16930,93.4,https://www.manipalcigna.com/health-insurance
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 100L,25,20000000,1431,17168,93.4,https://www.manipalcigna.com/health-insurance
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 25L,25,20000000,1404,16851,93.4,https://www.manipalcigna.com/health-insurance
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 50L,25,20000000,2710,32522,93.4,https://www.manipalcigna.com/health-insurance
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 25L,25,20000000,2704,32442,93.4,https://www.manipalcigna.com/health-insurance
Star Health,Mediclassic Individual Silver,16,200000,448,5376,85.8,https://www.starhealth.in/health-insurance/
Star Health,Arogya Sanjivini Individual,16,200000,411,4927,85.8,https://www.starhealth.in/health-insurance/
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 100L,25,5000000,1859,22307,93.4,https://www.manipalcigna.com/health-insurance
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 50L,25,5000000,1161,13930,93.4,https://www.manipalcigna.com/health-insurance
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 100L,25,5000000,1177,14124,93.4,https://www.manipalcigna.com/health-insurance
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 25L,25,5000000,1156,13866,93.4,https://www.manipalcigna.com/health-insurance
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 50L,25,5000000,1843,22114,93.4,https://www.manipalcigna.com/health-insurance
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 25L,25,5000000,1837,22049,93.4,https://www.manipalcigna.com/health-insurance
New India Assurance,New India Mediclaim 2012,16,200000,683,8200,98,https://www.newindia.co.in/health-insurance/health-insurance-policy
New India Assurance,Aarogya sanjeevani,16,200000,517,6203,98,https://www.newindia.co.in/health-insurance/health-insurance-policy
Royal Sundaram,Lifeline Classic,15,200000,615,7374,92,https://www.royalsundaram.in/health-insurance/lifeline/
IFFCO Tokio,Individual Health Protector,12,200000,471,5646,98.9,https://www.iffcotokio.co.in/health-insurance
Care Health,Care Supreme VFM Discounted,15,500000,581,6969,93,https://www.careinsurance.com/
Care Health,Care Supreme Discounted + Wellness Benefit + Air Ambulance + NCB Super,15,500000,732,8783,93,https://www.careinsurance.com/
Care Health,Care Supreme Discounted (Quarterly) + Wellness Benefit + Air Ambulance + NCB Super,15,500000,755,"9,060",93,https://www.careinsurance.com/
Care Health,Care Freedom,15,300000,502,6024,93,https://www.careinsurance.com/
Care Health,Care Heart,15,300000,750,9000,93,https://www.careinsurance.com/
Care Health,Care Freedom with Health Check Plus,15,300000,502,6024,93,https://www.careinsurance.com/
Care Health,Care with Care Shield,15,500000,1276,15312,93,https://www.careinsurance.com/
Star Health,Young Star Silver,16,300000,456,5466,85.8,https://www.starhealth.in/health-insurance/
Star Health,Young Star Gold,16,300000,570,6839,85.8,https://www.starhealth.in/health-insurance/
Star Health,Assure Insurance Policy,16,500000,683,8192,85.8,https://www.starhealth.in/health-insurance/
Star Health,Comprehensive Individual,16,500000,794,9529,85.8,https://www.starhealth.in/health-insurance/
Star Health,Mediclassic Individual Gold,16,300000,661,7937,85.8,https://www.starhealth.in/health-insurance/
Star Health,Mediclassic Individual Silver,16,300000,618,7419,85.8,https://www.starhealth.in/health-insurance/
Star Health,Comprehensive with PED Buy Back,16,500000,1032,12388,85.8,https://www.starhealth.in/health-insurance/
Star Health,Diabetes Safe Plan-A,16,300000,1526,18307,85.8,https://www.starhealth.in/health-insurance/
Star Health,Diabetes Safe Plan-B,16,300000,1695,20341,85.8,https://www.starhealth.in/health-insurance/
Star Health,Arogya Sanjivini Individual,16,300000,442,5298,85.8,https://www.starhealth.in/health-insurance/
Star Health,Smart Health Pro,16,500000,618,7417,85.8,https://www.starhealth.in/health-insurance/
Niva Bupa,Reassure 2.0 Platinum+ (Direct),16,500000,912,10943,92,https://www.nivabupa.com/health-insurance-plans.html
Niva Bupa,Reassure 2.0 Titanium+ (Direct),16,500000,937,11239,92,https://www.nivabupa.com/health-insurance-plans.html
Niva Bupa,Reassure 2.0 Bronze+(Direct),16,500000,830,9955,92,https://www.nivabupa.com/health-insurance-plans.html
Niva Bupa,Aspire Gold + (Direct),16,500000,683,8194,92,https://www.nivabupa.com/health-insurance-plans.html
Niva Bupa,Aspire Diamond + (Direct),16,500000,782,9383,92,https://www.nivabupa.com/health-insurance-plans.html
Niva Bupa,Aspire Platinum + (Direct),16,500000,843,10114,92,https://www.nivabupa.com/health-insurance-plans.html
Niva Bupa,Aspire Titanium + (Direct),16,500000,848,10179,92,https://www.nivabupa.com/health-insurance-plans.html
Niva Bupa,Health Companion,16,300000,873,10470,92,https://www.nivabupa.com/health-insurance-plans.html
Niva Bupa,Health Companion + Safeguard,16,300000,960,11518,92,https://www.nivabupa.com/health-insurance-plans.html
Niva Bupa,Health Premia Silver,16,500000,1413,16953,92,https://www.nivabupa.com/health-insurance-plans.html
Niva Bupa,Health Pulse,16,500000,601,7207,92,https://www.nivabupa.com/health-insurance-plans.html
Aditya Birla,Activ One Max,14,500000,654,7846,96,https://www.adityabirlacapital.com/healthinsurance/homepage
Aditya Birla,Active Health Platinum - Enhanced,14,500000,710,8522,96,https://www.adityabirlacapital.com/healthinsurance/homepage
ICICI Lombard,Elevate + BeFit,12,500000,736,8832,99.8,https://www.icicilombard.com/health-insurance
ICICI Lombard,Health AdvantEdge Plus 2.0 With Befit,12,500000,876,10507,99.8,https://www.icicilombard.com/health-insurance
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim Protector and Befit,12,500000,909,10913,99.8,https://www.icicilombard.com/health-insurance
ICICI Lombard,Health AdvantEdge Plus 2.0 with Maternity ( New born + Vaccination ) + Claim Protector + Befit,12,500000,1139,13670,99.8,https://www.icicilombard.com/health-insurance
ICICI Lombard,Health AdvantEdge Plus 2.0 with Maternity ( New born + Vaccination ) + Befit,12,500000,1105,13263,99.8,https://www.icicilombard.com/health-insurance
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim + SI Protector + Befit,12,500000,940,11284,99.8,https://www.icicilombard.com/health-insurance
ICICI Lombard,Health AdvantEdge Plus 2.0 With SI Protector and Befit,12,500000,907,10878,99.8,https://www.icicilombard.com/health-insurance
ICICI Lombard,Health AdvantEdge Plus 2.0 with Maternity ( New born + Vaccination ) + SI Protector + Befit,12,500000,1136,13634,99.8,https://www.icicilombard.com/health-insurance
ICICI Lombard,Health AdvantEdge Plus 2.0 with Maternity ( New born + Vaccination ) + Claim Protector + SI Protector + Befit,12,500000,1170,14040,99.8,https://www.icicilombard.com/health-insurance
Reliance,Health Gain Plus,15,500000,535,6416,99.9,https://www.reliancegeneral.co.in/health-insurance/health-gain-insurance?wpsrc=Google+Organic+Search
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 100L,25,5000000,1859,22307,93.4,https://www.manipalcigna.com/health-insurance
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 50L,25,5000000,1161,13930,93.4,https://www.manipalcigna.com/health-insurance
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 100L,25,5000000,1177,14124,93.4,https://www.manipalcigna.com/health-insurance
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 25L,25,5000000,1156,13866,93.4,https://www.manipalcigna.com/health-insurance
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 50L,25,5000000,1843,22114,93.4,https://www.manipalcigna.com/health-insurance
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 25L,25,5000000,1837,22049,93.4,https://www.manipalcigna.com/health-insurance
Cholamandalam MS,Flexi Health Individual,16,500000,879,10550,94,https://www.cholainsurance.com/health-insurance
New India Assurance,New India Mediclaim 2012,16,300000,804,9642,98,https://www.newindia.co.in/health-insurance/health-insurance-policy
New India Assurance,Aarogya sanjeevani,16,300000,593,7120,98,https://www.newindia.co.in/health-insurance/health-insurance-policy
Royal Sundaram,Lifeline Classic,15,300000,707,8481,92,https://www.royalsundaram.in/health-insurance/lifeline/
Royal Sundaram,Lifeline Supreme,15,500000,797,9566,92,https://www.royalsundaram.in/health-insurance/lifeline/
Zuno,Zuno Gold + Health 241,10,500000,1309,15707,95,https://www.hizuno.com/health-insurance-plan
Universal Sompo,A Plus Silver,20,500000,613,7351,96,https://www.universalsompo.com/health-insurance
Universal Sompo,A Plus Gold,20,500000,657,7882,96,https://www.universalsompo.com/health-insurance
Universal Sompo,A Plus Diamond,20,500000,828,9936,96,https://www.universalsompo.com/health-insurance
Universal Sompo,Complete HealthCare Insurance - Privilege,20,600000,866,10396,96,https://www.universalsompo.com/health-insurance
Universal Sompo,Complete HealthCare Insurance - Essential,20,400000,708,8496,96,https://www.universalsompo.com/health-insurance
Universal Sompo,Complete HealthCare Insurance - Digi-Pro,20,400000,652,7823,96,https://www.universalsompo.com/health-insurance
Universal Sompo,A Plus Silver + Non medical items,20,500000,641,7694,96,https://www.universalsompo.com/health-insurance
Universal Sompo,A Plus Gold + Non medical items,20,500000,685,8225,96,https://www.universalsompo.com/health-insurance
Universal Sompo,A Plus Diamond + Non medical items,20,500000,857,10278,96,https://www.universalsompo.com/health-insurance
Universal Sompo,A Plus Silver + PED waiting period waiver,20,500000,753,9039,96,https://www.universalsompo.com/health-insurance
Universal Sompo,A Plus Gold + PED waiting period waiver,20,500000,798,9570,96,https://www.universalsompo.com/health-insurance
Universal Sompo,A Plus Diamond + PED waiting period waiver,20,500000,969,11623,96,https://www.universalsompo.com/health-insurance
IFFCO Tokio,Individual Health Protector,12,300000,610,7321,98.9,https://www.iffcotokio.co.in/health-insurance
Magma HDI,Secure with Bonus Booster and Zonewise Copay Waiver,16,400000,629,7550,90,https://www.magmahdi.com/products/health-insurance/onehealth
Care Health,Care Advantage with Global Coverage Inc US,15,30000000,4577,54927,93,https://www.careinsurance.com/
Care Health,Care Advantage with Global Coverage Ex US,15,30000000,3893,46716,93,https://www.careinsurance.com/
Care Health,Care Advantage with Reduction In PED Waiting period and Global coverage Inc US,15,30000000,4577,54927,93,https://www.careinsurance.com/
Niva Bupa,Health Premia Platinum,16,30000000,6208,74497,92,https://www.nivabupa.com/health-insurance-plans.html
Aditya Birla,Activ One Max,14,30000000,2185,26221,96,https://www.adityabirlacapital.com/healthinsurance/homepage
ICICI Lombard,Elevate + BeFit,12,30000000,2011,24136,99.8,https://www.icicilombard.com/health-insurance
ICICI Lombard,Health AdvantEdge Plus 2.0 With Befit,12,30000000,3122,37458,99.8,https://www.icicilombard.com/health-insurance
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim Protector and Befit,12,30000000,3122,37458,99.8,https://www.icicilombard.com/health-insurance
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim + SI Protector + Befit,12,30000000,3152,37829,99.8,https://www.icicilombard.com/health-insurance
ICICI Lombard,Health AdvantEdge Plus 2.0 With SI Protector and Befit,12,30000000,3152,37829,99.8,https://www.icicilombard.com/health-insurance
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 100L,25,30000000,3287,39448,93.4,https://www.manipalcigna.com/health-insurance
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 50L,25,30000000,1655,19864,93.4,https://www.manipalcigna.com/health-insurance
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 100L,25,30000000,1679,20143,93.4,https://www.manipalcigna.com/health-insurance
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 25L,25,30000000,1648,19772,93.4,https://www.manipalcigna.com/health-insurance
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 50L,25,30000000,3264,39169,93.4,https://www.manipalcigna.com/health-insurance
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 25L,25,30000000,3256,39076,93.4,https://www.manipalcigna.com/health-insurance
Care Health,Care Supreme VFM Discounted,15,500000,581,6969,93,https://www.careinsurance.com/
Care Health,Care Supreme Discounted + Wellness Benefit + Air Ambulance + NCB Super,15,500000,732,8783,93,https://www.careinsurance.com/
Care Health,Care Supreme Discounted (Quarterly) + Wellness Benefit + Air Ambulance + NCB Super,15,500000,755,"9,060",93,https://www.careinsurance.com/
Care Health,Care Freedom,15,300000,502,6024,93,https://www.careinsurance.com/
Care Health,Care Heart,15,300000,750,9000,93,https://www.careinsurance.com/
Care Health,Care Freedom with Health Check Plus,15,300000,502,6024,93,https://www.careinsurance.com/
Care Health,Care with Care Shield,15,500000,1276,15312,93,https://www.careinsurance.com/
Star Health,Young Star Silver,16,300000,456,5466,85.8,https://www.starhealth.in/health-insurance/
Star Health,Young Star Gold,16,300000,570,6839,85.8,https://www.starhealth.in/health-insurance/
Star Health,Assure Insurance Policy,16,500000,683,8192,85.8,https://www.starhealth.in/health-insurance/
Star Health,Comprehensive Individual,16,500000,794,9529,85.8,https://www.starhealth.in/health-insurance/
Star Health,Mediclassic Individual Gold,16,300000,661,7937,85.8,https://www.starhealth.in/health-insurance/
Star Health,Mediclassic Individual Silver,16,300000,618,7419,85.8,https://www.starhealth.in/health-insurance/
Star Health,Comprehensive with PED Buy Back,16,500000,1032,12388,85.8,https://www.starhealth.in/health-insurance/
Star Health,Diabetes Safe Plan-A,16,300000,1526,18307,85.8,https://www.starhealth.in/health-insurance/
Star Health,Diabetes Safe Plan-B,16,300000,1695,20341,85.8,https://www.starhealth.in/health-insurance/
Star Health,Arogya Sanjivini Individual,16,300000,442,5298,85.8,https://www.starhealth.in/health-insurance/
Star Health,Smart Health Pro,16,500000,618,7417,85.8,https://www.starhealth.in/health-insurance/
Niva Bupa,Reassure 2.0 Platinum+ (Direct),16,500000,912,10943,92,https://www.nivabupa.com/health-insurance-plans.html
Niva Bupa,Reassure 2.0 Titanium+ (Direct),16,500000,937,11239,92,https://www.nivabupa.com/health-insurance-plans.html
Niva Bupa,Reassure 2.0 Bronze+(Direct),16,500000,830,9955,92,https://www.nivabupa.com/health-insurance-plans.html
Niva Bupa,Aspire Gold + (Direct),16,500000,683,8194,92,https://www.nivabupa.com/health-insurance-plans.html
Niva Bupa,Aspire Diamond + (Direct),16,500000,782,9383,92,https://www.nivabupa.com/health-insurance-plans.html
Niva Bupa,Aspire Platinum + (Direct),16,500000,843,10114,92,https://www.nivabupa.com/health-insurance-plans.html
Niva Bupa,Aspire Titanium + (Direct),16,500000,848,10179,92,https://www.nivabupa.com/health-insurance-plans.html
Niva Bupa,Health Companion,16,300000,873,10470,92,https://www.nivabupa.com/health-insurance-plans.html
Niva Bupa,Health Companion + Safeguard,16,300000,960,11518,92,https://www.nivabupa.com/health-insurance-plans.html
